specimenId,src,subType
12:PB18551,A,P
12:PB26604,A,W
12:PB27983,A,C
12:PB29022,A,C
13:PB7735,A,W
13:PB9803,A,C
13:PF281,A,C
14:PB16339,A,C
14:PB24272,A,C
14:PB24992,A,C
15:PB14640,A,C
15:PB23051,A,C
15:PB4570,A,C
15:PF1197,A,C
15:PF305,A,P
16:PB18677,A,C
16:PF304,A,W
12:PB10433,B,C
12:PB17418,B,P
12:PB20612,B,C
12:PB2229,B,P
12:PB25168,B,W
12:PB25462,B,W
12:PB25731,B,C
12:PB30638,B,P
12:PB33568,B,C
12:PB33759,B,C
12:PB34360,B,C
12:PB4601,B,C
12:PB603,B,P
12:PB6880,B,W
12:PB7080,B,C
12:PB7879,B,W
12:PB8670,B,W
13:PB12997,B,P
13:PB13948,B,C
13:PB24617,B,C
13:PB6502,B,C
13:PB9871,B,C
13:PF578,B,C
13:PF650,B,P
13:PF772,B,P
13:PF91,B,C
14:PB16170,B,W
14:PB19968,B,P
14:PB23160,B,W
14:PB23614,B,C
14:PB25494,B,P
14:PB27404,B,P
14:PB5307,B,P
14:PF1057,B,C
14:PF400,B,W
14:PF432,B,W
15:PB10012,B,P
15:PB12782,B,P
15:PB13435,B,C
15:PB16284,B,C
15:PB30834,B,C
15:PB31113,B,C
15:PF1093,B,W
15:PF1122,B,W
15:PF1314,B,W
15:PF1774,B,C
15:PF42,B,C
15:PF567,B,W
15:PF58,B,P
15:PF589,B,C
16:PB11954,B,P
16:PB12084,B,C
16:PB13411,B,C
16:PB19877,B,C
16:PB21433,B,C
16:PB26672,B,W
16:PB387,B,P
16:PB4860,B,C
16:PF1479,B,C
16:PF1722,B,P
16:PF1919,B,C
16:PF510,B,P
16:PF625,B,C
13:PB1304,C,M
13:PB14440,C,A
13:PB6407,C,A
13:PF978,C,M
16:PB5357,C,A
16:PF528,C,A
