#########  rige regression 10 cross validation result on 579 samples avg protein matrix

1  0.867 P01266,P02751,P02766,P04083,P04406,P08572,P46776,P98160,Q9GZM7,Q9Y646
2  0.855 P01266,P02751,P02766,P04083,P04406,Q9GZM7,Q9Y646
3  0.860 O00339,P14866,P27816,P39059,P62316,P78527,Q13642,Q15393,Q9H223,Q9P0M6,Q9Y2V2
4  0.853 P01266,P04083,P04406,P98160,Q9GZM7,Q9Y646
5  0.851 P01266,P04083,P04406,Q9GZM7,Q9Y646
6  0.843 O00339,P14866,P27816,P39059,Q9H223
7  0.851 O95861,P01266,P04083,P04406,Q9GZM7,Q9Y646
8  0.851 P01266,P02766,P04083,P04406,P98160,Q9GZM7,Q9Y646
9  0.864 P01266,P04083,P04406,Q9GZM7,Q9H223,Q9Y646
10  0.855 O00339,P14866,P27816,P39059,P62316,P78527,Q13642,Q15393,Q9H223,Q9P0M6
11  0.857 P04083,P04406,Q9GZM7,Q9Y646
12  0.839 P01266,P04083,P04406,Q9GZM7
13  0.864 O00339,O75367,P09417,P14866,P15374,P17931,P27816,P39059,P52597,P62316,P78527,P81605,Q13642,Q15393,Q9GZM7,Q9H223,Q9P0M6
14  0.832 O00339,P27816,P39059,Q9H223
15  0.883 O00339,O00469,P05114,P17931,P27708,P27816,P39059,P62316,P78527,Q07812,Q13126,Q15393,Q8NFP9,Q92499,Q92504,Q99453,Q9H223,Q9NQ48,Q9P0M6,Q9Y2V2
16  0.824 O95861,P01266,P04083,P04406
17  0.810 P01266,P04083,P04406,Q9Y646
18  0.812 O00339,P27816,Q13642,Q15393
19  0.793 P01266,P04406,P98160,Q9Y646
20  0.827 O75367,P15374,P27816,P78527,Q13642,Q9H223,Q9P0M6
21  0.755 P04083,P46776
22  0.803 O00339,P08727,P39059,Q9H223

########################### cv.randomForest
1  0.864 P01266,P02751,P02766,P04083,P04406,P08572,P46776,P98160,Q9GZM7,Q9Y646
2  0.855 P01266,P02751,P02766,P04083,P04406,Q9GZM7,Q9Y646
3  0.860 O00339,P14866,P27816,P39059,P62316,P78527,Q13642,Q15393,Q9H223,Q9P0M6,Q9Y2V2
4  0.834 P01266,P04083,P04406,P98160,Q9GZM7,Q9Y646
5  0.838 P01266,P04083,P04406,Q9GZM7,Q9Y646
6  0.831 O00339,P14866,P27816,P39059,Q9H223
7  0.857 O95861,P01266,P04083,P04406,Q9GZM7,Q9Y646
8  0.841 P01266,P02766,P04083,P04406,P98160,Q9GZM7,Q9Y646
9  0.839 P01266,P04083,P04406,Q9GZM7,Q9H223,Q9Y646
10  0.862 O00339,P14866,P27816,P39059,P62316,P78527,Q13642,Q15393,Q9H223,Q9P0M6
11  0.845 P04083,P04406,Q9GZM7,Q9Y646
12  0.851 P01266,P04083,P04406,Q9GZM7
13  0.858 O00339,O75367,P09417,P14866,P15374,P17931,P27816,P39059,P52597,P62316,P78527,P81605,Q13642,Q15393,Q9GZM7,Q9H223,Q9P0M6
14  0.838 O00339,P27816,P39059,Q9H223
15  0.865 O00339,O00469,P05114,P17931,P27708,P27816,P39059,P62316,P78527,Q07812,Q13126,Q15393,Q8NFP9,Q92499,Q92504,Q99453,Q9H223,Q9NQ48,Q9P0M6,Q9Y2V2
16  0.815 O95861,P01266,P04083,P04406
17  0.817 P01266,P04083,P04406,Q9Y646
18  0.813 O00339,P27816,Q13642,Q15393
19  0.763 P01266,P04406,P98160,Q9Y646
20  0.820 O75367,P15374,P27816,P78527,Q13642,Q9H223,Q9P0M6
21  0.737 P04083,P46776
22  0.760 O00339,P08727,P39059,Q9H223
