protId	score	label	symbol
P07202	23.6052728481281	PM	PERT_HUMAN
P04083	23.388871419027	PM	ANXA1_HUMAN
P02751	15.0025291411554	PM	FINC_HUMAN
Q14764	14.1089432499674	PM	MVP_HUMAN
P17931	13.8796620992946	PM	LEG3_HUMAN
O60504	13.2205612154235	PM	VINEX_HUMAN
P14618	11.4722814555997	PM	KPYM_HUMAN
Q99584	10.8698380794989	PM	S10AD_HUMAN
P12277	10.8474366927215	PM	KCRB_HUMAN
Q96C19	10.4421124622301	PM	EFHD2_HUMAN
P07858	10.0283858062968	PM	CATB_HUMAN
P04080	9.99048878313165	PM	CYTB_HUMAN
P09382	9.91595760671741	PM	LEG1_HUMAN
O00339	9.7413323540831	PM	MATN2_HUMAN
P23381	9.35995006290912	PM	SYWC_HUMAN
P08294	8.63042028120322	PM	SODE_HUMAN
O75083	8.42536016720809	PM	WDR1_HUMAN
O60437	8.36600852135287	PM	PEPL_HUMAN
P08758	8.2369983574088	PM	ANXA5_HUMAN
Q14847	8.2239890999575	PM	LASP1_HUMAN
Q00610	8.14636335824504	PM	CLH1_HUMAN
Q15149	8.09322357495721	PM	PLEC_HUMAN
O94875	8.0459884667984	PM	SRBS2_HUMAN
P20700	7.87447613559041	PM	LMNB1_HUMAN
Q9NTK5	7.56158789477243	PM	OLA1_HUMAN
P46940	7.53937056758265	PM	IQGA1_HUMAN
P61978	7.01852835797984	PM	HNRPK_HUMAN
Q9UHV9	6.98722516686503	PM	PFD2_HUMAN
Q71UM5	6.95414501804442	PM	RS27L_HUMAN
P00568	6.85223398988627	PM	KAD1_HUMAN
P25705	6.77812334594452	PM	ATPA_HUMAN
P31939	6.50978475775988	PM	PUR9_HUMAN
P62913	6.30225948673256	PM	RL11_HUMAN
P08238	6.19411874751954	PM	HS90B_HUMAN
P19971	6.05155734047504	PM	TYPH_HUMAN
P30520	6.00540379462036	PM	PURA2_HUMAN
P39019	5.81730575363877	PM	RS19_HUMAN
Q14195	5.68169313458023	PM	DPYL3_HUMAN
P46776	5.67351082599835	PM	RL27A_HUMAN
O15145	5.58424904463854	PM	ARPC3_HUMAN
P21333	5.57857032597754	PM	FLNA_HUMAN
P50454	5.44797335462955	PM	SERPH_HUMAN
P37802	5.40566168660635	PM	TAGL2_HUMAN
P43034	5.33620968583097	PM	LIS1_HUMAN
Q15417	5.04729767764068	PM	CNN3_HUMAN
P59998	5.00310848311407	PM	ARPC4_HUMAN
P11142	4.97001615836818	PM	HSP7C_HUMAN
P35268	3.72856814083637	PM	RL22_HUMAN
P08865	3.47140320607162	PM	RSSA_HUMAN
P07202	32.4874983987051	PN	PERT_HUMAN
P61353	24.5937938319116	PN	RL27_HUMAN
P46778	23.1509334007457	PN	RL21_HUMAN
Q71UM5	22.4217367662023	PN	RS27L_HUMAN
P20700	22.0761648355076	PN	LMNB1_HUMAN
P04083	18.9009286912857	PN	ANXA1_HUMAN
Q14764	26.6728504668344	PA	MVP_HUMAN
P04083	25.6032038577654	PA	ANXA1_HUMAN
P02751	24.1270555758795	PA	FINC_HUMAN
P07202	23.8225381213657	PA	PERT_HUMAN
P17931	22.4085170622256	PA	LEG3_HUMAN
P10909	19.7393923745324	PA	CLUS_HUMAN
P09382	15.8174599806024	PA	LEG1_HUMAN
O60504	15.7501817850881	PA	VINEX_HUMAN
P12277	15.3706030199739	PA	KCRB_HUMAN
P37802	12.2377912779231	PA	TAGL2_HUMAN
O94875	11.8396790337201	PA	SRBS2_HUMAN
