protId	score	label	symbol
P17931	1187.47601214324	PM	LEG3_HUMAN
O14498	578.265840347893	PM	ISLR_HUMAN
O14907	253.090361890646	PM	TX1B3_HUMAN
P63104	211.054824712791	PM	1433Z_HUMAN
Q16822	162.46887453873	PM	PCKGM_HUMAN
P07202	151.159574366804	PM	PERT_HUMAN
P53634	133.923902855833	PM	CATC_HUMAN
O14498	267.167849430621	PN	ISLR_HUMAN
P17931	210.102491483141	PN	LEG3_HUMAN
P11142	165.195270527437	PN	HSP7C_HUMAN
Q04837	162.701494045946	PN	SSBP_HUMAN
Q9GZT3	114.718730722622	PN	SLIRP_HUMAN
Q86UN3	91.7049111104517	PN	R4RL2_HUMAN
P17931	1695.32867495825	PA	LEG3_HUMAN
O14907	395.303678380378	PA	TX1B3_HUMAN
P07202	318.743117237865	PA	PERT_HUMAN
P06703	291.961670485791	PA	S10A6_HUMAN
Q14847	97.549556403254	PA	LASP1_HUMAN
P17931	1055.79257774686	PC	LEG3_HUMAN
Q13425	111.292544925385	PC	SNTB2_HUMAN
P06703	104.272864812539	PC	S10A6_HUMAN
P07355	57.3758401312436	PC	ANXA2_HUMAN
Q9Y383	29.5508614395957	PC	LC7L2_HUMAN
P01766	27.1340351889751	PC	HV313_HUMAN
Q4G0J3	17.4643485193563	PC	LARP7_HUMAN
Q02218	13.6076279316408	PC	ODO1_HUMAN
Q14165	7.90196380689242	PC	MLEC_HUMAN
P02743	70.1580354500203	MN	SAMP_HUMAN
Q6UVK1	44.8729693781207	MN	CSPG4_HUMAN
O76062	29.2669609864727	MN	ERG24_HUMAN
P02787	27.1016712961153	MN	TRFE_HUMAN
P06702	26.0405620854168	MN	S10A9_HUMAN
P62314	25.8158968800147	MN	SMD1_HUMAN
Q9Y3I0	20.8310236998219	MN	RTCB_HUMAN
P56537	20.6023040843673	MN	IF6_HUMAN
P15121	17.1781059958592	MN	ALDR_HUMAN
Q7Z7M0	13.3382293356566	MN	MEGF8_HUMAN
P35443	9.16522041676594	MN	TSP4_HUMAN
P21796	6.5144798884021	MN	VDAC1_HUMAN
Q14203	6.45940623091203	MN	DCTN1_HUMAN
Q9Y3Y2	4.85967538983681	MN	CHTOP_HUMAN
Q8IZQ5	3.85173224179148	MN	SELH_HUMAN
Q709C8	3.08608903526157	MN	VP13C_HUMAN
Q9NZN4	2.96143820048188	MN	EHD2_HUMAN
O95563	2.69843441815594	MN	MPC2_HUMAN
P12814	1.95610964392514	MN	ACTN1_HUMAN
Q8N129	1.91559745805073	MN	CNPY4_HUMAN
Q96GW7	1.33084723443943	MN	PGCB_HUMAN
O14498	278.115194310063	MA	ISLR_HUMAN
P49368	103.837014970362	MA	TCPG_HUMAN
P04075	88.4830699044736	MA	ALDOA_HUMAN
Q96AE4	73.7870392409117	MA	FUBP1_HUMAN
Q08211	50.8507357870165	MA	DHX9_HUMAN
Q96K19	44.2471560302436	MA	RN170_HUMAN
P61353	37.5501064587632	MA	RL27_HUMAN
Q7L014	36.0732551873275	MA	DDX46_HUMAN
Q5VT66	35.5772125482148	MA	MARC1_HUMAN
Q9BZ23	32.908930862788	MA	PANK2_HUMAN
Q5HYK3	32.277609030606	MA	COQ5_HUMAN
Q5JTZ9	31.226560829851	MA	SYAM_HUMAN
Q02878	30.11462586106	MA	RL6_HUMAN
Q16822	27.2037497457586	MA	PCKGM_HUMAN
Q00610	22.6737885120361	MA	CLH1_HUMAN
P15880	19.5233868655181	MA	RS2_HUMAN
P31942	9.44765168373198	MA	HNRH3_HUMAN
P04406	222.79954455457	MC	G3P_HUMAN
Q96AE4	217.258522454788	MC	FUBP1_HUMAN
P60174	174.581677699407	MC	TPIS_HUMAN
P25787	124.191319407537	MC	PSA2_HUMAN
P62913	111.823446028438	MC	RL11_HUMAN
P11142	69.70807652232	MC	HSP7C_HUMAN
P61960	35.4620988993785	MC	UFM1_HUMAN
P10606	35.3405047102919	MC	COX5B_HUMAN
P50990	11.8632402383504	MC	TCPQ_HUMAN
P02743	101.982399542865	NA	SAMP_HUMAN
P35754	30.8304551143296	NA	GLRX1_HUMAN
Q9GZT3	26.9182966131377	NA	SLIRP_HUMAN
P20774	26.3925873209518	NA	MIME_HUMAN
P51159	25.5303319976671	NA	RB27A_HUMAN
P49207	24.6958525584108	NA	RL34_HUMAN
P41240	24.1687118952245	NA	CSK_HUMAN
P55036	23.8758670811972	NA	PSMD4_HUMAN
P43246	23.6305054006663	NA	MSH2_HUMAN
Q6UVK1	23.0069548507296	NA	CSPG4_HUMAN
P49368	20.7752070772499	NA	TCPG_HUMAN
P04216	19.7748284359701	NA	THY1_HUMAN
