prots avgAcc mxAcc minAcc CNT protNumber machine
P00568,P02751,P02766,P04083,P04406,P08572,P61247,P61978,Q9GZM7,Q9Y646 86.631 86.631 86.631 1 10 A
P01266,P02751,P02766,P04083,P04406,P12110,P61978,P98160,Q14103,Q562R1,Q9GZM7,Q9Y646 86.2743333333333 86.631 86.096 3 12 A
P00568,P01266,P02647,P02751,P04083,P07202,P46940,Q13642,Q15717,Q562R1,Q9GZM7,Q9H223 86.25 86.25 86.25 1 12 C
P01266,P02766,P04083,P04406,P08572,Q562R1,Q9GZM7,Q9Y646 86.096 86.631 85.561 4 8 A
P02751,P02766,P04083,P04406,P08572,P61978,Q9GZM7,Q9Y646 86.096 86.096 86.096 1 8 A
O75083,O75367,P00568,P02647,P02751,P04083,P07202,P46940,Q13642,Q14980,Q9GZM7,Q9H223 86 86 86 1 12 C
P01266,P02751,P02766,P04083,P04406,P08572,P61978,Q562R1,Q9GZM7,Q9Y646 85.9771111111111 86.096 85.561 9 10 A
O75531,P00568,P01266,P02647,P02751,P04083,P04406,P12277,P19338,P23246,P46778,P62750,P62861,Q00610,Q13263,Q13642,Q99584,Q9H223,Q9Y646 85.938 85.938 85.938 1 19 B
O75531,P00568,P01266,P02647,P02751,P04083,P19338,Q00610,Q13263,Q13642,Q99584 85.938 85.938 85.938 1 11 B
O75531,P00568,P01266,P02647,P04083,P23246,Q13642,Q99584 85.938 85.938 85.938 1 8 B
P01266,P02751,P02766,P04083,P04406,P12110,Q562R1,Q9GZM7,Q9Y646 85.8285 86.096 85.561 2 9 A
P02751,P02766,P04083,P04406,P08572,Q9GZM7,Q9Y646 85.6145 86.096 85.561 10 7 A
P01266,P02751,P02766,P04083,P04406,P08572,P61978,Q9GZM7,Q9Y646 85.5615 86.096 85.027 2 9 A
P00568,P01266,P02751,P02766,P04083,P04406,P08572,P13639,P61978,Q562R1,Q9GZM7,Q9Y646 85.561 85.561 85.561 1 12 A
P01266,P02751,P02766,P04083,P04406,P08572,P61247,P61978,Q562R1,Q9GZM7,Q9Y646 85.561 85.561 85.561 1 11 A
O75367,P00568,P01266,P02647,P02751,P04083,P46940,Q13642,Q562R1,Q92905,Q9H223 85.3125 85.75 84.75 4 11 C
P00568,P01266,P02751,P04083,P04406,P08572,P13639,P61978,P68871,Q562R1,Q9GZM7,Q9Y646 85.2936666666667 85.561 83.957 6 12 A
P01266,P02751,P02766,P04083,P04406,P98160,Q14103,Q562R1,Q9GZM7,Q9Y646 85.027 85.027 85.027 1 10 A
P01266,P04083,P04406,P08572,Q562R1,Q9GZM7,Q9H223,Q9Y646 85.027 85.027 85.027 1 8 A
P00568,P01266,P02647,P02751,P04083,Q13642,Q562R1,Q9GZM7 85 85 85 1 8 C
P00568,P01266,P02647,P02751,P04083,Q13642,Q562R1,Q9GZM7,Q9H223 84.96875 86 84 24 9 C
O75367,P00568,P01266,P02647,P02751,P04083,P07202,P46940,Q13642,Q562R1,Q9GZM7,Q9H223 84.875 85.5 84.25 2 12 C
P00568,P01266,P02647,P02751,P04083,Q13642,Q14980,Q562R1,Q9GZM7,Q9H223 84.8333333333333 85 84.75 3 10 C
P01266,P02751,P02766,P04083,P04406,P08572,Q562R1,Q9GZM7 84.7595 85.027 84.492 2 8 A
P00568,P01266,P02647,P02751,P04083,P07202,P46940,Q13642,Q562R1,Q9H223 84.75 85 84.5 2 10 C
P01266,P02647,P02751,P04083,Q13642,Q562R1,Q9H223 84.625 84.75 84.5 2 7 C
O75083,O75367,P00568,P01266,P02647,P02751,P04083,P46940,Q13642,Q562R1,Q92905,Q9H223 84.5 84.5 84.5 1 12 C
P00568,P02751,P04083,P04406,P08572,P61247,Q9GZM7,Q9Y646 84.492 84.492 84.492 1 8 A
P01266,P02751,P02766,P04083,P04406,Q562R1,Q9GZM7,Q9Y646 84.492 84.492 84.492 1 8 A
P02751,P04083,P04406,P61978,Q14103,Q562R1,Q9GZM7,Q9Y646 84.492 84.492 84.492 1 8 A
P00568,P01266,P02647,P02751,P04083,P46940,Q13642,Q562R1,Q92905,Q9H223 84.45 85 84 5 10 C
P00568,P01266,P02647,P02751,P04083,Q13642,Q562R1,Q9H223 84.425 85.25 84.25 10 8 C
P00568,P01266,P02647,P02751,P04083,P04406,P19338,P23297,P62750,P62861,P62913,Q00610,Q13642,Q99584 84.375 84.375 84.375 1 14 B
P00568,P01266,P02647,P02751,P04083,P19338,P23246,P23297,P46778,P62750,P62861,P62913,Q00610,Q13263,Q13642,Q99584,Q9H223,Q9Y646 84.375 84.375 84.375 1 18 B
P00568,P01266,P02647,P04083,P23246,Q13642,Q99584,Q9H223,Q9Y646 84.375 84.375 84.375 2 9 B
P01266,P02647,P02751,P04083,Q13642,Q562R1 84.28125 84.75 84 8 6 C
P00568,P01266,P02647,P02751,P04083,P07202,Q13642,Q562R1,Q9H223 84.25 84.25 84.25 2 9 C
P00568,P02462,P02647,P02751,P04083,Q13642,Q562R1,Q9Y646 84.25 84.25 84.25 1 8 C
P01266,P02462,P02647,P02751,P04083,Q13642,Q562R1 84.25 84.25 84.25 1 7 C
P01266,P02647,P02751,P04083,Q13642,Q562R1,Q9GZM7,Q9H223 84.25 84.25 84.25 1 8 C
P02647,P02751,P04083,Q13642,Q562R1,Q9Y646 84.125 84.75 83.5 2 6 C
P00568,P02647,P02751,P04083,P46940,Q13642,Q92905,Q9H223 84 84 84 1 8 C
P01266,P02647,P04083,P04406,Q13642,Q99584,Q9H223,Q9Y646 83.98425 84.375 82.812 4 8 B
P01266,P04083,P04406,Q562R1,Q9GZM7,Q9Y646 83.957 83.957 83.957 1 6 A
O94875,P00568,P01266,P02647,P02751,P04083,P07202,Q13642,Q14980,Q562R1,Q9GZM7,Q9H223 83.9166666666667 84 83.75 3 12 C
O94875,P00568,P01266,P02647,P02751,P04083,P07202,Q13642,Q562R1,Q9H223 83.9166666666667 84 83.75 3 10 C
P00568,P01266,P02647,P02751,P04083,P07202,Q13642,Q14980,Q562R1,Q9GZM7,Q9H223 83.8571428571429 84 83.75 7 11 C
P00568,P01266,P02647,P02751,P04083,P07202,P46940,Q13642,Q562R1,Q9GZM7,Q9H223 83.75 83.75 83.75 1 11 C
P01266,P04083,P04406,P08572,Q562R1,Q9GZM7,Q9Y646 83.6895 83.957 83.422 6 7 A
P01266,P02751,P02766,P04083,P04406,P08572,P62937,Q562R1,Q9GZM7,Q9Y646 83.422 83.422 83.422 1 10 A
P01266,P02751,P02766,P04083,P04406,P08572,Q562R1,Q9GZM7,Q9Y646 83.422 83.422 83.422 5 9 A
O75367,O94875,P00568,P01266,P02647,P02751,P04083,P07202,Q13642,Q14980,Q562R1,Q9GZM7,Q9H223 83.25 83.25 83.25 1 13 C
P04083,P04406,P08572,Q562R1,Q9GZM7,Q9Y646 83.08825 83.422 82.888 8 6 A
O43681,P00568,P01266,P02647,P02751,P04083,Q13642,Q562R1,Q9H223 83 83 83 1 9 C
P02647,P02751,P04083,P07202,Q13642 83 83 83 1 5 C
P00568,P02751,P04083,P04406,P08572,P13639,P61978,Q562R1,Q9GZM7,Q9Y646 82.888 82.888 82.888 1 10 A
O75531,P00568,P01266,P02545,P02751,P04083,P04406,P12277,P19338,P23246,P46778,P49189,P62249,Q00610,Q13228,Q13263,Q13642,Q99584,Q9H223,Q9Y646 82.812 82.812 82.812 1 20 B
O75531,P00568,P01266,P02647,P02751,P04083,P04406,P19338,P23246,P23297,P46778,P62750,P62861,Q00610,Q13263,Q13642,Q99584,Q9H223,Q9Y646 82.812 82.812 82.812 1 19 B
O75531,P00568,P01266,P02751,P04083,P19338,P23246,Q13263,Q99584 82.812 82.812 82.812 1 9 B
O75531,P00568,P01266,P02751,P04083,P19338,Q99584 82.812 82.812 82.812 1 7 B
P00568,P01266,P02647,P04083,P23246,Q13263,Q13642,Q99584,Q9H223 82.812 82.812 82.812 1 9 B
P01266,P02751,P04083,P04406,P08572,P61978,Q562R1 82.4123333333333 83.957 81.818 9 7 A
O75083,O94875,P00568,P02751,P04083,P07202,P46940,Q13642,Q92905 82.1666666666667 82.5 82 3 9 C
P01266,P04083,P04406,P08572,Q562R1,Q9GZM7 82.0855 82.353 81.818 4 6 A
O94875,P02751,P04083,P46940,Q13642,Q92905 82 82 82 1 6 C
P00568,P02751,P04083,P04406,P08572,P13639,P61978,Q562R1,Q9GZM7 81.9071666666667 82.353 81.818 6 9 A
O94875,P00568,P02751,P04083,P07202,P46940,Q13642,Q92905 81.8796296296296 82.75 81 27 8 C
P00568,P01266,P02751,P04083,P04406,P08572,P13639,P61978,Q562R1,Q9GZM7 81.818 81.818 81.818 1 10 A
P00568,P01266,P02647,P02751,P04083,P07202,P46940,Q13642,Q14980,Q15717,Q562R1,Q9GZM7,Q9H223,Q9Y4L1 81.75 84 79.5 2 14 C
P02751,P04083,P07202,P46940,Q13642,Q92905 81.75 82.5 81 3 6 C
