 Rate proteinNumber AUC_NM AUC_MA AUC_AC AUC_CP
 2 35 0.997336 0.999809 0.996382 1.000000
 3 29 0.993648 1.000000 0.996382 1.000000
 4 35 0.994262 0.999809 0.995349 0.999790
 5 28 0.996516 1.000000 0.995866 1.000000
 6 43 0.998566 1.000000 0.994057 1.000000
 7 29 0.996311 1.000000 0.997933 1.000000
 8 37 0.958402 0.998952 0.952972 1.000000
 9 27 0.992828 1.000000 0.998450 1.000000
 10 59 0.996516 0.999428 0.991473 0.999790
 11 46 0.995902 1.000000 0.989406 0.999790
 12 35 0.997541 1.000000 0.992506 1.000000
 13 42 0.995492 0.999238 0.987855 1.000000
 14 50 0.991598 0.999905 0.995349 1.000000
 15 43 0.996619 0.999905 0.999225 1.000000
 16 47 0.991189 0.998666 0.996641 1.000000
 17 38 0.998566 0.998856 0.998708 1.000000
 18 43 1.000000 0.999905 0.996899 1.000000
 19 30 0.996311 0.999905 0.998191 1.000000
 20 42 0.998156 0.999619 0.992506 1.000000
 21 42 0.996516 1.000000 0.994574 0.999371
 22 46 0.992828 0.999809 0.991731 1.000000
 23 29 0.998361 0.999047 0.990439 1.000000
 24 52 0.988525 1.000000 0.993023 0.999790
 25 49 0.996721 0.999714 0.991990 0.999790
 26 40 0.998566 0.999905 0.993282 1.000000
 27 54 0.990574 1.000000 0.989406 1.000000
 28 47 0.989139 1.000000 0.997158 1.000000
 29 47 0.997541 0.999905 0.994057 1.000000
 30 53 0.991598 0.999619 0.994574 1.000000
 31 53 0.996926 0.999047 0.992248 1.000000
 32 55 0.997336 0.998570 0.994057 0.999581
 33 52 0.992008 0.999809 0.993023 0.999790
 34 46 0.987705 0.999428 0.993282 1.000000
 35 43 0.989344 0.999714 0.981395 1.000000
 36 37 0.994877 1.000000 0.997416 0.999371
 37 43 0.983197 1.000000 0.995607 0.999790
 38 56 0.942418 0.999809 0.896124 1.000000
 39 53 0.997746 0.999238 0.994574 1.000000
 40 44 0.995902 0.999523 0.992506 0.999790
 41 49 0.993852 0.999809 0.993540 0.999790
 42 43 0.990574 1.000000 0.997933 0.999790
 43 43 0.984221 0.999905 0.994832 1.000000
 44 52 0.995082 0.999238 0.988630 0.999790
 45 51 0.977049 0.999619 0.971835 0.999581
 46 53 0.993852 0.999333 0.991731 0.999790
 47 47 0.990369 1.000000 0.999742 0.998952
 48 38 0.995287 1.000000 0.998450 1.000000
 49 51 0.994672 0.999905 0.985530 1.000000
 50 45 0.978893 0.999714 0.996382 0.999581
