protId,N,,,M,V5,V6,A,V8,V9,C,V11,V12,P,V14,V15
,#/missed,percent,total,#/missed,percent,total,#/missed,percent,total,#/missed,percent,total,#/missed,percent,total
A0A075B6I0,40,100,40,120,98.36065574,122,85,98.8372093,86,44,97.77777778,45,102,96.22641509,106
A0A075B6I4,40,100,40,121,99.18032787,122,85,98.8372093,86,44,97.77777778,45,106,100,106
A0A075B6R2,40,100,40,122,100,122,86,100,86,45,100,45,103,97.16981132,106
A0A087WSX0,40,100,40,120,98.36065574,122,81,94.18604651,86,44,97.77777778,45,100,94.33962264,106
A0A0A0MS15,29,72.5,40,78,63.93442623,122,43,50,86,23,51.11111111,45,41,38.67924528,106
A0A0A0MT36,34,85,40,93,76.2295082,122,62,72.09302326,86,38,84.44444444,45,87,82.0754717,106
A0A0B4J1U3,37,92.5,40,117,95.90163934,122,76,88.37209302,86,43,95.55555556,45,94,88.67924528,106
A0A0B4J1V0,40,100,40,121,99.18032787,122,86,100,86,44,97.77777778,45,104,98.11320755,106
A0A0B4J1X5,40,100,40,122,100,122,83,96.51162791,86,44,97.77777778,45,104,98.11320755,106
A0A0B4J1Y8,38,95,40,113,92.62295082,122,78,90.69767442,86,45,100,45,105,99.05660377,106
A0A0B4J1Y9,15,37.5,40,33,27.04918033,122,15,17.44186047,86,13,28.88888889,45,21,19.81132075,106
A0A0C4DH24,38,95,40,121,99.18032787,122,80,93.02325581,86,43,95.55555556,45,104,98.11320755,106
A0A0C4DH29,39,97.5,40,115,94.26229508,122,83,96.51162791,86,45,100,45,102,96.22641509,106
A0A0C4DH31,37,92.5,40,94,77.04918033,122,67,77.90697674,86,35,77.77777778,45,83,78.30188679,106
A0A0C4DH34,38,95,40,112,91.80327869,122,76,88.37209302,86,45,100,45,101,95.28301887,106
A0A0C4DH38,37,92.5,40,118,96.72131148,122,82,95.34883721,86,44,97.77777778,45,103,97.16981132,106
A0A0C4DH68,35,87.5,40,94,77.04918033,122,64,74.41860465,86,38,84.44444444,45,86,81.13207547,106
A0A0J9YVY3,40,100,40,122,100,122,86,100,86,45,100,45,105,99.05660377,106
