protId	NM	MA	AC	CP
Q6PCB0	81	98	37	3
P02765	100	0	100	0
P10909	100	1	0	93
P04083	29	65	0	98
P02751	44	0	0	100
P12277	1	1	2	100
P40925	4	100	0	0
P35222	99	4	0	0
P35268	1	100	0	0
P27797	0	0	0	100
Q14103	0	0	100	0
P19827	98	0	0	1
P42126	18	76	0	1
P14543	5	0	5	76
P21397	0	76	0	0
P12110	3	59	3	8
P11142	3	52	14	0
P14618	16	0	1	48
P26641	5	56	0	0
Q99623	54	0	0	7
P06576	1	55	0	4
P68371	9	0	49	0
P02766	36	0	17	0
P07942	0	0	2	45
O75083	0	0	39	6
Q9Y4L1	4	0	3	36
P60174	1	0	41	0
P83731	9	31	1	1
P04179	26	0	0	15
P09960	2	0	38	0
P07858	0	38	1	0
P02787	13	0	24	0
Q99497	37	0	0	0
P07195	10	0	5	21
P07339	36	0	0	0
P11586	1	22	8	5
P12111	1	34	1	0
P62937	0	0	36	0
P07900	0	3	16	16
P08865	4	31	0	0
Q9H223	21	0	13	0
P00568	1	18	13	0
P10809	2	5	18	7
P10768	31	0	0	0
P35232	1	20	0	10
P11021	0	0	0	30
P62263	26	0	4	0
Q00610	0	0	28	2
P46776	20	6	0	1
P98160	0	11	0	16
P13667	1	1	0	24
P00505	0	15	2	8
P01009	19	0	0	4
Q16555	22	0	0	0
P14625	3	0	0	18
P63220	9	12	0	0
P49189	17	2	0	1
O75396	19	0	0	0
P27348	2	0	1	16
P61604	1	18	0	0
Q05682	0	0	0	19
Q86VP6	0	19	0	0
P04843	12	6	0	0
P07305	1	0	2	15
P37802	0	0	0	18
P39019	2	0	13	3
Q07020	16	0	1	1
P02545	0	0	0	17
P21333	0	0	0	17
P51991	1	0	13	2
Q13263	0	14	2	0
Q16698	11	1	0	4
P40926	1	2	1	11
Q96IU4	10	4	0	1
P00367	13	0	0	1
P02647	13	0	1	0
P11177	7	7	0	0
P13861	1	0	10	3
P35221	0	0	14	0
Q13011	4	9	1	0
Q96C23	2	0	12	0
P02649	12	0	0	1
P07355	7	0	0	6
P62258	12	0	0	1
Q14847	1	0	2	10
Q9BUT1	13	0	0	0
Q9NZL9	0	0	10	3
O00468	8	0	4	0
P11047	2	0	0	10
P12109	2	7	3	0
P23526	4	0	0	8
P29401	11	0	0	1
P63104	0	0	2	10
Q9Y646	0	0	0	12
P08572	1	0	0	10
P14174	2	9	0	0
P38646	0	0	7	4
P55268	3	2	2	4
P61247	5	4	1	1
Q9HDC9	0	0	10	1
P01859	0	0	0	10
P08758	1	0	2	7
P19338	0	8	2	0
P25705	1	4	0	5
Q99798	6	0	0	4
O15230	0	0	0	9
P61978	2	7	0	0
O43175	2	0	0	6
P00338	0	0	3	5
P13716	7	0	1	0
P24752	0	3	0	5
P26038	0	0	0	8
P37837	7	0	1	0
P48047	0	5	0	3
P60660	0	0	0	8
P60842	0	8	0	0
P68871	0	7	0	1
Q06830	1	7	0	0
P26373	7	0	0	0
P35579	2	0	0	5
P00450	6	0	0	0
P01266	0	0	0	6
O00264	1	0	2	2
P04004	0	0	5	0
P04080	0	0	5	0
P04792	1	0	4	0
P05023	2	0	0	3
P21291	0	0	0	5
P22314	4	0	0	1
P30044	0	2	0	3
P30101	0	3	0	2
P36957	1	0	0	4
P62753	0	5	0	0
P62851	5	0	0	0
Q12906	0	1	2	2
Q9HC38	2	2	1	0
P04406	0	1	3	0
P07737	0	0	4	0
P08238	3	0	0	1
P08670	1	1	0	2
P13639	2	1	1	0
P18206	0	1	0	3
P23246	3	0	1	0
P26885	2	0	0	2
P50914	2	0	2	0
P61019	0	0	3	1
P61313	4	0	0	0
Q00796	3	0	0	1
Q13228	1	0	2	1
Q9GZM7	4	0	0	0
P00738	2	0	1	0
P02763	3	0	0	0
P05783	1	0	1	1
P06744	1	0	0	2
P30043	0	0	0	3
P46777	1	0	0	2
P62913	0	0	3	0
P62942	0	0	0	3
Q15233	3	0	0	0
Q96AE4	0	0	3	0
P01876	0	0	2	0
P02790	0	0	2	0
P04075	0	0	2	0
P08133	0	0	1	1
P09211	2	0	0	0
P14314	0	0	0	2
P16401	0	0	2	0
P17987	1	0	1	0
P22626	0	0	0	2
P32119	1	1	0	0
P39023	1	0	0	1
P50395	0	2	0	0
P62750	0	0	1	1
Q15084	2	0	0	0
Q86V81	0	0	2	0
Q8IYT4	1	0	1	0
O14773	1	0	0	0
O14979	0	0	1	0
O43707	1	0	0	0
P01011	1	0	0	0
P01834	0	0	1	0
P02042	0	1	0	0
P02675	1	0	0	0
P18124	1	0	0	0
P30086	1	0	0	0
P35237	1	0	0	0
P52272	0	0	0	1
P62241	0	0	1	0
P69905	0	1	0	0
Q00839	1	0	0	0
Q03252	1	0	0	0
Q14112	1	0	0	0
Q14697	0	0	0	1
Q96KP4	0	0	0	1
Q9BVC6	0	0	1	0
Q9Y2B0	1	0	0	0
Q9Y490	0	0	0	1
