protId NM MA AC CP
P02765 100 0 100 0
Q6PCB0 78 94 18 1
P10909 100 1 0 87
P04083 32 49 0 100
P02751 49 0 0 100
P12277 1 0 2 100
Q14103 0 0 100 1
P27797 0 0 0 100
P35268 1 99 0 0
P40925 2 98 0 0
P14543 4 0 1 88
P35222 89 3 0 0
P02766 69 0 16 1
P42126 14 64 2 5
P11142 1 51 25 0
P07339 73 0 0 3
P04179 57 0 0 18
P19827 23 0 50 1
P83731 2 63 0 2
P14618 16 0 3 45
P12110 1 39 1 20
P62937 0 2 55 4
P68371 5 2 54 0
P63220 3 52 2 1
P07942 0 0 1 55
Q13011 3 52 0 0
P06576 2 49 0 2
Q13263 0 51 0 0
Q99623 35 0 0 10
P49189 34 10 0 0
P02787 15 1 26 0
P09960 2 0 40 0
P00568 0 29 11 1
O75083 1 0 34 5
P13667 0 0 0 40
P37802 0 0 0 39
P08865 2 35 0 1
P46776 28 9 0 1
P07858 0 37 0 0
Q9BUT1 13 23 0 0
P14625 4 0 0 27
P60174 2 0 29 0
Q06830 5 25 0 1
P07900 0 0 10 20
P55268 13 9 2 6
Q9NZL9 0 0 22 8
Q9Y4L1 2 0 1 27
O75396 29 0 0 0
P02545 0 0 0 29
P62263 25 1 1 0
P00367 25 0 0 1
P10809 0 7 15 4
Q99497 26 0 0 0
P07195 5 0 8 12
P14174 1 24 0 0
Q00610 0 1 22 2
P12111 1 21 2 0
O00468 18 3 2 0
P07305 1 0 1 21
P07355 14 0 0 9
P10768 23 0 0 0
P11021 0 2 0 21
P27348 0 0 0 22
P38646 0 0 10 12
P21397 0 21 0 0
P51991 0 1 20 0
P68871 0 21 0 0
P11586 0 3 5 12
P25705 2 10 2 6
Q9H223 12 0 8 0
P01009 11 0 1 7
P98160 0 7 0 12
P02647 18 0 0 0
P35232 2 6 0 10
P39019 5 0 12 1
P60660 0 0 1 17
Q96IU4 14 4 0 0
Q9Y646 3 0 0 15
P11047 2 0 0 15
P35221 0 0 14 3
P40926 0 5 0 12
P24752 3 3 2 8
P26038 0 1 0 15
P48047 1 10 1 3
Q14847 0 0 5 10
P61313 14 0 0 0
O15230 0 0 0 13
P11177 5 6 2 0
P29401 10 2 1 0
P00505 2 6 0 4
P08758 1 0 2 9
P13716 7 0 5 0
P19338 0 9 3 0
P01859 0 0 0 11
P08572 0 0 0 11
P12109 0 6 4 1
P26641 2 9 0 0
P35579 1 0 0 10
P62913 0 1 10 0
Q07020 8 0 1 2
P39023 10 0 0 0
P61604 0 10 0 0
P61978 5 4 0 1
Q16698 4 1 0 5
Q96C23 1 0 9 0
P21333 0 0 0 9
P22314 9 0 0 0
P23526 2 0 0 7
P30101 2 3 1 3
P61247 1 4 1 3
Q05682 0 0 0 9
Q86VP6 0 7 0 2
Q99798 6 1 0 2
O43175 0 1 0 7
P00338 0 0 2 6
P13861 0 0 5 3
P26885 1 2 2 3
P60842 0 8 0 0
P62851 4 2 1 1
P63104 0 0 1 7
Q00796 1 4 2 1
P04792 3 0 3 1
P26373 7 0 0 0
P46777 3 0 0 4
P62753 0 7 0 0
P01266 0 0 0 6
P04004 0 0 6 0
P08670 0 1 0 5
P17987 0 0 6 0
P30044 0 2 0 4
Q9HC38 1 2 2 1
P02790 3 0 2 0
P21291 0 0 0 5
P69905 0 5 0 0
Q12906 0 3 0 2
Q96AE4 2 0 3 0
P04080 0 0 3 1
P04843 3 1 0 0
P07737 1 0 0 3
P16401 0 0 3 1
P32119 1 3 0 0
P37837 2 0 1 1
P62241 0 0 3 1
P62258 4 0 0 0
P04406 0 1 2 0
P05783 1 1 1 0
P09211 2 0 0 1
P23246 1 0 2 0
P61019 0 0 3 0
P62750 1 0 2 0
P62942 1 0 0 2
Q14112 0 2 0 1
Q15233 3 0 0 0
Q16555 3 0 0 0
Q86V81 0 0 2 1
Q9GZM7 3 0 0 0
P00450 2 0 0 0
P01876 0 0 1 1
P05023 0 0 0 2
P13639 0 2 0 0
P14314 0 0 2 0
P18206 0 2 0 0
P22626 0 0 2 0
P30043 0 0 1 1
P36957 0 0 0 2
P50914 0 0 0 2
Q14697 1 0 1 0
Q15084 1 0 1 0
Q8IYT4 0 0 2 0
Q96KP4 1 0 0 1
O14773 1 0 0 0
O14979 0 0 1 0
P00558 1 0 0 0
P01011 0 1 0 0
P01023 1 0 0 0
P02042 0 1 0 0
P02649 1 0 0 0
P04075 0 0 1 0
P06733 0 1 0 0
P08133 0 0 1 0
P08238 1 0 0 0
P13489 1 0 0 0
P14550 1 0 0 0
P18124 1 0 0 0
P20618 0 0 0 1
P49368 1 0 0 0
P52272 0 1 0 0
P52943 0 0 0 1
Q00839 1 0 0 0
Q03252 0 0 0 1
Q13228 0 0 0 1
Q9BVC6 0 0 0 1
Q9HDC9 0 0 1 0
Q9UHG3 0 0 0 1
Q9Y2B0 0 0 0 1
Q9Y490 0 0 0 1
