protId	NM	MA	AC	CP
O00468	63	83	3	100
O14773	0	7	88	100
O00264	28	100	4	2
P00558	26	1	81	0
Q86VP6	98	8	0	2
P00338	1	100	3	0
O14979	1	1	0	100
P02751	0	100	0	0
O75083	0	99	0	0
P35579	0	0	0	99
Q07020	89	1	9	0
P62263	0	2	0	94
P00450	0	63	0	29
P46776	0	0	92	0
Q9UHG3	82	1	0	0
P62750	2	1	79	0
P30101	10	71	0	0
P23284	0	0	0	80
P04406	0	2	77	0
Q14103	79	0	0	0
P21397	1	1	0	76
P62805	4	1	71	0
P08133	0	75	0	0
P00915	17	49	0	0
P51991	0	59	3	0
Q99623	11	43	8	0
Q13011	61	0	0	0
Q9GZM7	4	53	0	0
Q16698	7	0	49	0
P07195	4	1	50	0
P02545	2	1	40	0
P69905	2	3	0	33
P26373	37	0	0	0
Q9Y490	37	0	0	0
P98160	2	32	1	0
P04080	0	1	0	33
P12111	0	0	33	0
Q9H223	5	27	0	0
Q9Y4L1	1	26	3	0
P01834	0	29	0	0
P27797	0	29	0	0
P49368	1	27	1	0
P01859	0	28	0	0
P62942	6	22	0	0
P08572	0	1	0	26
P35268	0	1	1	25
Q99497	17	10	0	0
Q5SSJ5	3	17	6	0
Q05682	0	20	4	0
Q9Y646	23	1	0	0
P62851	0	1	2	20
Q15233	5	16	0	1
Q96KP4	21	0	0	1
P36957	3	0	18	0
Q9Y2B0	11	4	0	5
P62913	4	0	0	15
P26038	7	11	0	0
Q9BVC6	17	1	0	0
Q8IYT4	4	12	0	0
Q96IU4	3	13	0	0
O43175	1	0	14	0
P00568	11	1	2	1
Q14847	5	7	0	2
P02679	0	2	11	0
P62241	1	0	12	0
Q00610	12	0	0	1
Q03252	1	0	8	4
P06744	12	0	0	0
P61604	1	10	1	0
P68371	2	0	0	10
Q9HC38	6	1	0	5
P02765	0	1	0	10
P04179	11	0	0	0
Q86V81	4	1	6	0
P21333	0	0	0	10
P26885	0	0	10	0
P35222	6	4	0	0
Q00796	7	0	3	0
Q13263	8	1	1	0
Q9BUT1	8	0	2	0
P68871	9	0	0	0
Q00839	7	1	0	1
Q06830	9	0	0	0
Q9HDC9	6	0	3	0
Q6PCB0	5	3	0	0
Q99798	2	4	2	0
P02763	7	0	0	0
P02790	0	5	2	0
Q15084	1	0	1	5
Q96AE4	4	3	0	0
P00505	0	0	6	0
P04075	0	6	0	0
P21291	4	0	0	1
P50395	5	0	0	0
P52272	1	1	2	1
P60174	3	0	2	0
P60842	5	0	0	0
P61313	2	3	0	0
Q16555	4	0	1	0
P02671	0	1	3	0
P08865	4	0	0	0
P61978	2	0	2	0
Q13228	3	0	1	0
P07942	0	0	3	0
P11021	3	0	0	0
P11586	3	0	0	0
P12110	1	2	0	0
P40926	1	0	2	0
P62258	0	0	3	0
Q12906	1	0	2	0
Q96C23	1	1	1	0
O15230	0	2	0	0
P00367	0	0	2	0
P01024	2	0	0	0
P04083	2	0	0	0
P12109	0	0	0	2
P14618	0	0	2	0
P16401	0	0	2	0
P18124	0	2	0	0
P30044	1	1	0	0
P30086	2	0	0	0
P32119	0	1	1	0
P35221	1	0	0	1
P35232	0	0	2	0
P62937	2	0	0	0
P83731	2	0	0	0
Q14697	1	1	0	0
Q9NZL9	2	0	0	0
P00738	0	1	0	0
P01009	0	1	0	0
P02462	1	0	0	0
P02647	0	1	0	0
P02649	0	1	0	0
P04004	0	1	0	0
P04792	0	1	0	0
P04843	0	0	1	0
P05023	0	1	0	0
P06576	1	0	0	0
P07900	1	0	0	0
P08238	1	0	0	0
P09211	0	1	0	0
P10768	0	0	1	0
P10809	0	1	0	0
P13639	1	0	0	0
P14550	0	0	1	0
P14625	1	0	0	0
P17987	0	0	1	0
P18206	0	1	0	0
P20618	1	0	0	0
P22626	0	0	1	0
P23246	1	0	0	0
P27348	1	0	0	0
P29401	1	0	0	0
P30043	0	1	0	0
P35237	0	1	0	0
P37837	0	0	0	1
P48047	1	0	0	0
P55268	0	0	0	1
P60660	0	0	1	0
P61019	0	0	1	0
P61247	0	0	1	0
P62753	0	0	0	1
P63104	1	0	0	0
P63220	0	0	0	1
Q14112	1	0	0	0
