ordRF588prot	ordRF45prot
M	M
M	M
M	M
A	P
P	A
P	P
P	P
M	M
A	A
M	M
M	M
M	M
M	M
M	M
M	M
P	P
P	A
A	A
M	M
M	M
M	M
P	P
M	P
M	M
M	M
M	M
P	P
P	P
P	P
M	M
M	M
M	P
M	M
M	A
M	M
M	M
M	P
P	P
A	A
A	A
M	M
P	A
P	A
P	A
P	P
P	P
P	P
M	A
M	M
M	M
M	M
A	A
M	M
M	M
M	M
M	M
M	M
M	M
M	A
M	M
M	M
M	A
P	P
A	A
M	A
A	A
P	A
P	P
P	P
M	M
M	M
A	A
M	M
P	P
P	P
A	A
A	M
M	M
M	M
P	P
M	A
M	M
P	P
P	P
M	M
P	P
A	A
P	A
A	A
P	A
A	A
M	M
A	A
P	A
M	P
P	P
M	A
P	A
P	A
A	M
A	A
M	M
M	M
P	A
A	A
P	P
A	A
P	A
M	M
P	A
P	A
A	P
M	M
P	A
A	A
P	A
M	M
M	A
M	M
P	P
M	M
A	A
A	A
P	P
A	A
M	M
P	P
P	A
P	P
P	A
P	P
P	P
M	M
M	M
M	M
P	P
P	P
M	A
M	M
M	M
M	M
M	M
M	M
M	M
M	M
P	P
M	M
P	P
P	P
M	M
P	A
M	M
P	A
P	P
M	M
M	A
M	M
M	M
M	M
M	M
M	M
M	M
M	M
M	M
P	P
P	P
M	M
P	P
M	P
M	M
P	A
A	A
P	P
P	P
M	M
P	P
P	A
M	P
M	M
P	A
M	M
